Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
02/01/93,0.55,240553840,,,,0.55,,0.53,0.55,0.53,
02/02/93,0.54,182336170,-0.01,-1.63,-1.63,0.54,-1.63,0.54,0.55,0.54,-1.63
02/03/93,0.54,264185840,0.00,-0.41,-0.41,0.54,-2.04,0.54,0.54,0.52,-2.04
02/04/93,0.53,208152200,0.00,-0.83,-0.83,0.53,-2.86,0.54,0.54,0.53,-2.86
02/05/93,0.51,367617940,-0.02,-3.78,-3.78,0.51,-6.53,0.53,0.53,0.50,-6.53
02/08/93,0.50,281075530,-0.01,-1.31,-1.31,0.50,-7.76,0.51,0.51,0.50,-7.76
02/09/93,0.51,238661050,0.00,0.66,0.66,0.51,-7.14,0.51,0.51,0.50,-7.14
02/10/93,0.50,268285060,-0.01,-1.98,-1.98,0.50,-8.98,0.51,0.51,0.49,-8.98
02/11/93,0.49,168268950,-0.01,-1.12,-1.12,0.49,-10.00,0.50,0.50,0.49,-10.00
02/12/93,0.48,275397100,-0.01,-2.27,-2.05,0.48,-11.84,0.49,0.50,0.48,-12.04
02/16/93,0.47,407736400,-0.01,-1.62,-1.62,0.47,-13.28,0.48,0.48,0.46,-13.47
02/17/93,0.48,249581060,0.01,1.65,1.65,0.48,-11.84,0.48,0.48,0.46,-12.04
02/18/93,0.49,280123530,0.01,2.09,2.09,0.49,-10.00,0.49,0.49,0.48,-10.20
02/19/93,0.49,177800190,,,,0.49,-10.00,0.49,0.50,0.49,-10.20
02/22/93,0.49,98761690,0.00,0.23,0.23,0.49,-9.80,0.49,0.50,0.49,-10.00
02/23/93,0.48,194073800,-0.01,-1.59,-1.59,0.49,-11.23,0.49,0.49,0.48,-11.43
02/24/93,0.48,286675530,-0.01,-1.15,-1.15,0.48,-12.25,0.47,0.48,0.47,-12.45
02/25/93,0.49,167227360,0.01,2.10,2.10,0.49,-10.41,0.48,0.49,0.48,-10.61
02/26/93,0.47,294885130,-0.02,-3.20,-3.20,0.47,-13.28,0.48,0.48,0.47,-13.47
03/01/93,0.48,119302520,0.00,0.47,0.47,0.48,-12.87,0.47,0.48,0.47,-13.06
03/02/93,0.48,147694560,0.01,1.88,1.88,0.49,-11.23,0.47,0.49,0.47,-11.43
03/03/93,0.49,202697810,0.00,0.69,0.69,0.49,-10.62,0.48,0.49,0.48,-10.82
03/04/93,0.49,188339390,0.00,0.69,0.69,0.49,-10.00,0.49,0.49,0.48,-10.20
03/05/93,0.49,111619310,,,,0.49,-10.00,0.49,0.50,0.49,-10.20
03/08/93,0.50,177004980,0.01,2.73,2.73,0.51,-7.55,0.49,0.51,0.49,-7.76
03/09/93,0.51,154828970,0.00,0.44,0.44,0.51,-7.14,0.50,0.51,0.50,-7.35
03/10/93,0.51,132496140,,,,0.51,-7.14,0.51,0.51,0.50,-7.35
03/11/93,0.51,144614560,0.00,0.22,0.22,0.51,-6.94,0.51,0.51,0.50,-7.14
03/12/93,0.50,126694530,-0.01,-1.10,-1.10,0.50,-7.96,0.51,0.51,0.50,-8.16
03/15/93,0.51,136035330,0.01,1.33,1.33,0.51,-6.73,0.50,0.51,0.49,-6.94
03/16/93,0.50,101057700,0.00,-0.88,-0.88,0.51,-7.55,0.51,0.52,0.50,-7.76
03/17/93,0.49,176220980,-0.01,-2.43,-2.43,0.49,-9.80,0.50,0.51,0.49,-10.00
03/18/93,0.49,106187300,-0.01,-1.13,-1.13,0.49,-10.82,0.49,0.50,0.49,-11.02
03/19/93,0.48,154100950,-0.01,-1.38,-1.38,0.48,-12.05,0.49,0.49,0.48,-12.24
03/22/93,0.48,165200170,0.00,-0.93,-0.93,0.48,-12.87,0.48,0.48,0.47,-13.06
03/23/93,0.47,102536100,0.00,-0.94,-0.94,0.47,-13.69,0.48,0.48,0.47,-13.88
03/24/93,0.48,143068950,0.01,1.90,1.90,0.48,-12.05,0.47,0.48,0.47,-12.24
03/25/93,0.49,171046600,0.01,1.86,1.86,0.49,-10.41,0.48,0.49,0.48,-10.61
03/26/93,0.48,151972940,-0.01,-2.74,-2.74,0.48,-12.87,0.49,0.49,0.47,-13.06
03/29/93,0.46,261710660,-0.02,-4.23,-4.23,0.46,-16.55,0.47,0.47,0.45,-16.73
03/30/93,0.47,264051470,0.01,2.45,2.45,0.47,-14.50,0.46,0.47,0.45,-14.69
03/31/93,0.46,223037030,-0.01,-1.44,-1.44,0.46,-15.73,0.47,0.47,0.46,-15.92
04/01/93,0.46,108203310,0.00,0.49,0.49,0.46,-15.32,0.46,0.46,0.46,-15.51
04/02/93,0.45,253792250,-0.01,-3.14,-3.14,0.45,-17.98,0.45,0.46,0.44,-18.16
04/05/93,0.45,149172950,0.00,-0.25,-0.25,0.45,-18.19,0.45,0.45,0.44,-18.37
04/06/93,0.44,168369780,-0.01,-2.50,-2.50,0.44,-20.23,0.45,0.45,0.44,-20.41
04/07/93,0.45,162848170,0.02,3.59,3.59,0.45,-17.37,0.44,0.45,0.43,-17.55
04/08/93,0.44,163430580,-0.01,-1.49,-1.49,0.45,-18.59,0.45,0.45,0.44,-18.78
04/12/93,0.45,93049695,0.00,0.50,0.50,0.45,-18.19,0.44,0.46,0.44,-18.37
04/13/93,0.43,164483380,-0.01,-3.00,-3.00,0.43,-20.64,0.45,0.46,0.43,-20.82
04/14/93,0.44,170060970,0.00,0.52,0.52,0.44,-20.23,0.43,0.44,0.43,-20.41
04/15/93,0.42,218702630,-0.01,-3.08,-3.08,0.42,-22.69,0.43,0.43,0.42,-22.86
04/16/93,0.43,686851940,0.01,1.85,1.85,0.43,-21.25,0.43,0.44,0.42,-21.43
04/19/93,0.43,227864190,0.00,0.78,0.78,0.43,-20.64,0.43,0.44,0.43,-20.82
04/20/93,0.45,240049840,0.01,3.09,3.09,0.45,-18.19,0.44,0.45,0.43,-18.37
04/21/93,0.44,205273810,0.00,-0.75,-0.75,0.44,-18.80,0.45,0.45,0.44,-18.98
04/22/93,0.45,157673780,0.00,0.76,0.76,0.45,-18.19,0.44,0.45,0.44,-18.37
04/23/93,0.44,134142530,-0.01,-1.50,-1.50,0.44,-19.41,0.44,0.45,0.44,-19.59
04/26/93,0.44,102804910,0.00,-0.51,-0.51,0.44,-19.82,0.44,0.44,0.43,-20.00
04/27/93,0.45,129673730,0.01,2.55,2.55,0.45,-17.78,0.44,0.45,0.44,-17.96
04/28/93,0.46,163240170,0.01,2.24,2.24,0.46,-15.94,0.44,0.46,0.44,-16.12
04/29/93,0.45,82443290,-0.01,-1.22,-1.22,0.45,-16.96,0.46,0.46,0.45,-17.14
04/30/93,0.46,132339340,0.00,0.99,0.99,0.46,-16.14,0.45,0.47,0.45,-16.33
05/03/93,0.46,65184063,0.01,1.22,1.22,0.46,-15.12,0.46,0.46,0.46,-15.31
05/04/93,0.48,170822600,0.01,2.89,2.89,0.48,-12.66,0.47,0.48,0.46,-12.86
05/05/93,0.49,253064250,0.01,2.11,2.11,0.49,-10.82,0.47,0.50,0.47,-11.02
05/06/93,0.48,70459280,-0.01,-1.38,-1.38,0.48,-12.05,0.49,0.49,0.48,-12.24
05/07/93,0.49,81894484,0.01,1.86,1.86,0.49,-10.41,0.48,0.49,0.48,-10.61
05/10/93,0.49,137928140,0.00,0.46,0.46,0.49,-10.00,0.49,0.50,0.49,-10.20
05/11/93,0.49,158379380,0.00,-0.91,-0.91,0.49,-10.82,0.49,0.49,0.48,-11.02
05/12/93,0.48,105224086,-0.01,-2.29,-2.29,0.48,-12.87,0.48,0.49,0.47,-13.06
05/13/93,0.50,361726720,0.02,4.23,4.23,0.50,-9.19,0.48,0.50,0.48,-9.39
05/14/93,0.50,117409720,,,,0.50,-9.19,0.49,0.50,0.49,-9.39
05/17/93,0.50,69641680,0.00,0.45,0.45,0.50,-8.78,0.50,0.50,0.49,-8.98
05/18/93,0.50,163475380,0.00,-0.45,-0.45,0.50,-9.19,0.50,0.50,0.49,-9.39
05/19/93,0.51,172771390,0.02,3.15,3.15,0.51,-6.32,0.49,0.51,0.49,-6.53
05/20/93,0.52,290528300,0.01,2.62,2.62,0.53,-3.87,0.51,0.53,0.51,-4.08
05/21/93,0.51,148086560,-0.01,-2.13,-2.13,0.51,-5.91,0.52,0.53,0.51,-6.12
05/24/93,0.51,150315340,0.00,0.22,0.22,0.52,-5.71,0.51,0.52,0.51,-5.92
05/25/93,0.50,180723360,-0.01,-2.17,-2.17,0.50,-7.75,0.51,0.51,0.50,-7.96
05/26/93,0.52,121564920,0.01,2.44,2.44,0.52,-5.50,0.50,0.52,0.49,-5.71
05/27/93,0.51,197288170,0.00,-0.43,-0.43,0.51,-5.91,0.52,0.52,0.51,-6.12
05/28/93,0.51,183948970,-0.01,-1.52,-1.31,0.51,-7.15,0.51,0.51,0.50,-7.55
06/01/93,0.51,135072130,0.00,0.66,0.66,0.51,-6.53,0.50,0.52,0.50,-6.94
