Date,Price,CVol,Open,Low,High
02/01/93,44.25,480500,43.97,43.97,44.25
02/02/93,44.34,201300,44.22,44.13,44.38
02/03/93,44.81,529400,44.41,44.38,44.84
02/04/93,45.00,531500,44.97,44.88,45.09
02/05/93,44.97,492100,44.97,44.72,45.06
02/08/93,44.97,596100,44.97,44.91,45.13
02/09/93,44.66,122100,44.81,44.56,44.81
02/10/93,44.72,379600,44.66,44.53,44.75
02/11/93,44.94,19500,44.78,44.78,45.13
02/12/93,44.59,42500,44.88,44.59,44.88
02/16/93,43.47,374800,44.47,43.41,44.47
02/17/93,43.44,210900,43.47,43.28,43.53
02/18/93,43.41,378100,43.94,42.81,43.94
02/19/93,43.56,34900,43.41,43.34,43.56
02/22/93,43.72,513600,43.69,43.56,43.78
02/23/93,43.69,373700,43.84,43.47,43.88
02/24/93,44.25,26300,43.72,43.72,44.25
02/25/93,44.34,44500,44.22,44.13,44.38
02/26/93,44.41,66200,44.44,44.19,44.44
03/01/93,44.28,66500,44.56,44.22,44.56
03/02/93,44.94,182400,44.31,44.25,44.94
03/03/93,45.13,280100,45.00,44.94,45.16
03/04/93,44.88,89500,45.19,44.88,45.19
03/05/93,44.75,40000,44.94,44.72,45.13
03/08/93,45.75,50800,44.84,44.84,45.75
03/09/93,45.59,169300,45.66,45.50,45.69
03/10/93,45.69,194400,45.59,45.41,45.69
03/11/93,45.56,70900,45.72,45.50,45.84
03/12/93,45.09,643600,45.19,44.81,45.22
03/15/93,45.31,310800,45.06,45.06,45.31
03/16/93,45.31,30800,45.31,45.31,45.44
03/17/93,45.03,21800,45.25,44.97,45.25
03/18/93,45.31,59300,45.22,45.22,45.50
03/19/93,45.03,66900,45.28,45.03,45.28
03/22/93,44.78,183400,44.59,44.56,44.88
03/23/93,44.88,55200,44.91,44.81,44.94
03/24/93,44.88,37200,44.81,44.59,45.06
03/25/93,45.16,110100,44.91,44.84,45.25
03/26/93,44.91,101500,45.13,44.88,45.16
03/29/93,45.09,87100,44.94,44.94,45.31
03/30/93,45.22,56000,45.16,45.09,45.22
03/31/93,45.19,111600,45.34,45.19,45.47
04/01/93,45.03,129500,45.25,44.94,45.25
04/02/93,44.09,59400,44.66,44.09,44.66
04/05/93,44.31,172200,44.44,44.19,44.44
04/06/93,44.19,129700,44.41,44.06,44.41
04/07/93,44.34,28000,44.25,44.16,44.34
04/08/93,44.28,180800,44.53,44.09,44.53
04/12/93,44.91,348500,44.72,44.66,44.94
04/13/93,45.00,146100,44.88,44.84,45.16
04/14/93,44.94,119600,45.03,44.91,45.06
04/15/93,44.94,148600,44.91,44.75,45.03
04/16/93,44.94,47900,44.97,44.88,45.03
04/19/93,44.75,157000,44.94,44.72,45.06
04/20/93,44.53,279500,44.69,44.25,44.75
04/21/93,44.50,67900,44.63,44.38,44.63
04/22/93,43.94,97700,44.31,43.94,44.69
04/23/93,43.75,106000,43.84,43.69,43.97
04/26/93,43.41,62600,43.78,43.28,43.94
04/27/93,43.88,156800,43.34,43.34,43.88
04/28/93,43.78,85900,43.81,43.72,43.91
04/29/93,43.97,85000,43.88,43.63,43.97
04/30/93,44.03,88500,44.13,44.03,44.28
05/03/93,44.31,80500,44.09,43.91,44.31
05/04/93,44.47,149100,44.41,44.34,44.63
05/05/93,44.59,109000,44.47,44.47,44.75
05/06/93,44.44,54700,44.53,44.41,44.56
05/07/93,44.34,68000,44.47,44.28,44.47
05/10/93,44.44,113900,44.41,44.41,44.69
05/11/93,44.63,42600,44.44,44.31,44.63
05/12/93,44.56,31000,44.44,44.44,44.59
05/13/93,44.03,129100,44.38,44.00,44.38
05/14/93,44.00,63500,44.03,43.97,44.16
05/17/93,44.16,34000,44.13,43.94,44.16
05/18/93,44.13,105200,44.19,43.97,44.22
05/19/93,45.03,50200,44.13,43.84,45.03
05/20/93,45.16,98200,45.03,44.94,45.16
05/21/93,44.75,221400,45.19,44.72,45.25
05/24/93,44.94,30500,44.84,44.84,45.09
05/25/93,45.03,191800,45.13,45.03,45.13
05/26/93,45.59,102400,45.16,45.13,45.63
05/27/93,45.44,53800,45.66,45.38,45.66
05/28/93,45.22,79100,45.41,45.00,45.41
06/01/93,45.66,28300,45.38,45.31,45.81
06/02/93,45.59,20300,45.53,45.34,45.75
06/03/93,45.44,21600,45.50,45.34,45.50
06/04/93,45.28,32000,45.31,45.09,45.31
06/07/93,45.13,121400,45.38,45.13,45.38
06/08/93,44.72,104500,45.00,44.72,45.00
06/09/93,44.88,43300,44.88,44.81,45.06
06/10/93,44.91,17900,44.84,44.75,44.94
06/11/93,45.09,647400,45.06,44.91,45.16
06/14/93,45.03,64200,45.16,45.03,45.19
06/15/93,44.94,142400,45.09,44.94,45.13
06/16/93,45.03,330900,44.94,44.81,45.03
06/17/93,45.19,37400,45.13,45.03,45.19
06/18/93,44.50,58500,44.84,44.50,44.84
06/21/93,44.59,29300,44.63,44.53,44.63
06/22/93,44.63,137500,44.66,44.56,44.66
06/23/93,44.22,227600,44.63,44.22,44.63
06/24/93,44.81,243700,44.34,44.34,44.81
06/25/93,44.78,44800,44.78,44.75,44.91
06/28/93,45.28,439900,45.00,44.94,45.28
06/29/93,45.06,207500,45.22,45.00,45.22
06/30/93,45.06,437600,45.13,45.00,45.22
07/01/93,44.94,605700,45.13,44.88,45.13
